epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9585,2.85824,3.92692,1.88809,0.00441,0.8933,0.09408,0.02205,2.19253,inf,1.35442,0.00025722,0.00025722,0.00025722
2,78.7006,2.19449,2.77985,1.37738,0.0057,0.79609,0.23178,0.06713,2.16473,inf,1.37063,0.000526985,0.000526985,0.000526985
3,111.476,2.11988,1.82942,1.3329,0.82401,0.32831,0.53089,0.21358,2.06105,inf,1.32232,0.000794958,0.000794958,0.000794958
4,144.732,2.02867,1.57483,1.29932,0.7116,0.49485,0.64865,0.26905,2.09971,2.27314,1.35445,0.00106114,0.00106114,0.00106114
5,177.727,1.97567,1.49309,1.278,0.679,0.57766,0.69505,0.26923,2.08417,2.06818,1.32085,0.00132553,0.00132553,0.00132553
6,211.152,1.94243,1.45209,1.27035,0.6481,0.73241,0.72381,0.31485,2.03558,1.56077,1.32276,0.00140542,0.00140542,0.00140542
7,244.157,1.91871,1.43093,1.26754,0.54049,0.73197,0.6423,0.27045,2.09154,1.54828,1.35709,0.00140071,0.00140071,0.00140071
8,277.828,1.90438,1.39712,1.25755,0.72783,0.77298,0.80446,0.35458,2.04589,1.23709,1.3281,0.00139599,0.00139599,0.00139599
9,311.079,1.88198,1.37045,1.25175,0.70864,0.78237,0.79149,0.3615,2.03956,1.2357,1.31638,0.00139127,0.00139127,0.00139127
10,343.495,1.85299,1.36449,1.24476,0.70487,0.75666,0.76573,0.29978,2.04554,1.25408,1.3025,0.00138656,0.00138656,0.00138656
11,376.319,1.84419,1.35041,1.23789,0.8475,0.86539,0.85758,0.40522,1.90776,1.13755,1.2447,0.00138184,0.00138184,0.00138184
12,408.968,1.83493,1.3323,1.23395,0.67356,0.68403,0.73465,0.31242,2.04111,1.42466,1.31197,0.00137713,0.00137713,0.00137713
13,441.908,1.81927,1.33098,1.22799,0.73076,0.72047,0.73841,0.2811,2.11194,1.3353,1.38085,0.00137241,0.00137241,0.00137241
14,474.694,1.81813,1.31276,1.22596,0.8388,0.85248,0.87058,0.40027,1.92285,1.10551,1.23006,0.0013677,0.0013677,0.0013677
15,507.417,1.80839,1.3074,1.2256,0.75011,0.77652,0.82808,0.38578,1.90668,1.15549,1.26885,0.00136298,0.00136298,0.00136298
