epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2702,2.6295,4.19798,1.23514,0.04639,0.3677,0.08534,0.02304,2.13284,3.88672,1.04767,0.00038583,0.00038583,0.00038583
2,27.1149,2.26896,2.71772,1.14228,0.02611,0.56113,0.12757,0.04408,2.18485,3.50756,1.0716,0.000778169,0.000778169,0.000778169
3,36.9656,2.13529,2.50723,1.09419,0.07468,0.80716,0.33429,0.12285,2.04528,2.9172,1.08581,0.00116259,0.00116259,0.00116259
4,46.902,2.09078,2.21989,1.0962,0.57116,0.47521,0.47227,0.17644,2.07724,2.12597,1.1252,0.00138656,0.00138656,0.00138656
5,56.5342,2.07525,2.14306,1.10408,0.47364,0.50658,0.43114,0.17092,2.0944,1.95848,1.09499,0.00137241,0.00137241,0.00137241
6,66.1945,2.05896,2.03837,1.09641,0.49879,0.58161,0.47876,0.18358,2.15244,1.8302,1.1316,0.00135826,0.00135826,0.00135826
7,76.0268,2.02569,1.89436,1.07939,0.59226,0.62483,0.56701,0.23425,2.02143,1.58349,1.10781,0.00134412,0.00134412,0.00134412
8,86.1476,2.06254,1.86727,1.08431,0.49538,0.61685,0.55083,0.21151,2.03665,1.79203,1.12951,0.00132997,0.00132997,0.00132997
9,96.0979,2.04537,1.76213,1.07086,0.63284,0.67746,0.61999,0.26464,2.00525,1.51363,1.10208,0.00131582,0.00131582,0.00131582
10,105.91,2.01218,1.67836,1.08647,0.58528,0.66166,0.56098,0.22871,2.0513,1.498,1.10123,0.00130168,0.00130168,0.00130168
11,115.735,1.99712,1.66924,1.0712,0.54182,0.59301,0.51027,0.20355,2.19963,1.67981,1.12694,0.00128753,0.00128753,0.00128753
12,125.51,2.00062,1.68517,1.0805,0.50425,0.52789,0.46944,0.17206,2.22373,1.82196,1.12461,0.00127338,0.00127338,0.00127338
